:START_ID,:END_ID,:TYPE
6,848,IN_ROOM
171,849,IN_ROOM
201,850,IN_ROOM
123,851,IN_ROOM
23,852,IN_ROOM
34,853,IN_ROOM
27,854,IN_ROOM
72,848,IN_ROOM
82,849,IN_ROOM
84,850,IN_ROOM
221,851,IN_ROOM
18,852,IN_ROOM
93,853,IN_ROOM
74,854,IN_ROOM
173,848,IN_ROOM
3,849,IN_ROOM
166,850,IN_ROOM
157,851,IN_ROOM
119,852,IN_ROOM
168,854,IN_ROOM
89,848,IN_ROOM
124,849,IN_ROOM
87,850,IN_ROOM
187,851,IN_ROOM
71,852,IN_ROOM
180,848,IN_ROOM
150,849,IN_ROOM
67,850,IN_ROOM
138,851,IN_ROOM
145,852,IN_ROOM
162,853,IN_ROOM
113,848,IN_ROOM
24,849,IN_ROOM
110,850,IN_ROOM
46,851,IN_ROOM
178,852,IN_ROOM
32,854,IN_ROOM
204,853,IN_ROOM
163,854,IN_ROOM
83,853,IN_ROOM
58,848,IN_ROOM
21,849,IN_ROOM
30,850,IN_ROOM
64,851,IN_ROOM
98,852,IN_ROOM
39,848,IN_ROOM
4,849,IN_ROOM
153,850,IN_ROOM
59,848,IN_ROOM
107,849,IN_ROOM
151,850,IN_ROOM
22,854,IN_ROOM
213,848,IN_ROOM
197,849,IN_ROOM
55,850,IN_ROOM
218,851,IN_ROOM
158,852,IN_ROOM
219,848,IN_ROOM
92,849,IN_ROOM
26,850,IN_ROOM
225,851,IN_ROOM
1,852,IN_ROOM
37,848,IN_ROOM
29,849,IN_ROOM
76,850,IN_ROOM
100,851,IN_ROOM
2,852,IN_ROOM
16,853,IN_ROOM
194,854,IN_ROOM
208,851,IN_ROOM
14,851,IN_ROOM
108,851,IN_ROOM
191,855,IN_ROOM
68,848,IN_ROOM
80,849,IN_ROOM
188,850,IN_ROOM
63,856,IN_ROOM
101,851,IN_ROOM
88,852,IN_ROOM
70,857,IN_ROOM
159,855,IN_ROOM
52,848,IN_ROOM
86,849,IN_ROOM
48,850,IN_ROOM
17,856,IN_ROOM
200,851,IN_ROOM
198,852,IN_ROOM
144,857,IN_ROOM
13,854,IN_ROOM
97,856,IN_ROOM
224,852,IN_ROOM
104,857,IN_ROOM
69,854,IN_ROOM
217,855,IN_ROOM
33,848,IN_ROOM
62,849,IN_ROOM
112,850,IN_ROOM
141,856,IN_ROOM
31,851,IN_ROOM
75,852,IN_ROOM
155,857,IN_ROOM
94,854,IN_ROOM
103,855,IN_ROOM
7,848,IN_ROOM
215,849,IN_ROOM
214,850,IN_ROOM
120,856,IN_ROOM
222,851,IN_ROOM
117,852,IN_ROOM
11,857,IN_ROOM
202,855,IN_ROOM
60,848,IN_ROOM
9,849,IN_ROOM
149,850,IN_ROOM
143,856,IN_ROOM
170,851,IN_ROOM
0,852,IN_ROOM
8,857,IN_ROOM
175,855,IN_ROOM
91,848,IN_ROOM
193,849,IN_ROOM
66,850,IN_ROOM
196,856,IN_ROOM
195,851,IN_ROOM
49,852,IN_ROOM
172,857,IN_ROOM
10,854,IN_ROOM
176,853,IN_ROOM
154,853,IN_ROOM
36,854,IN_ROOM
220,855,IN_ROOM
42,848,IN_ROOM
95,849,IN_ROOM
199,850,IN_ROOM
35,856,IN_ROOM
5,851,IN_ROOM
223,852,IN_ROOM
125,857,IN_ROOM
212,855,IN_ROOM
53,848,IN_ROOM
79,849,IN_ROOM
102,850,IN_ROOM
57,856,IN_ROOM
41,851,IN_ROOM
65,852,IN_ROOM
56,857,IN_ROOM
118,855,IN_ROOM
28,848,IN_ROOM
81,849,IN_ROOM
164,850,IN_ROOM
38,856,IN_ROOM
185,851,IN_ROOM
45,852,IN_ROOM
106,857,IN_ROOM
78,857,IN_ROOM
96,855,IN_ROOM
209,848,IN_ROOM
174,849,IN_ROOM
210,850,IN_ROOM
40,856,IN_ROOM
73,851,IN_ROOM
139,852,IN_ROOM
186,849,IN_ROOM
127,856,IN_ROOM
183,852,IN_ROOM
20,855,IN_ROOM
105,848,IN_ROOM
177,849,IN_ROOM
182,850,IN_ROOM
211,856,IN_ROOM
126,851,IN_ROOM
122,852,IN_ROOM
190,857,IN_ROOM
179,855,IN_ROOM
205,848,IN_ROOM
115,849,IN_ROOM
192,850,IN_ROOM
54,856,IN_ROOM
146,851,IN_ROOM
99,852,IN_ROOM
184,857,IN_ROOM
90,855,IN_ROOM
160,848,IN_ROOM
109,849,IN_ROOM
43,850,IN_ROOM
25,856,IN_ROOM
161,851,IN_ROOM
169,852,IN_ROOM
142,857,IN_ROOM
156,855,IN_ROOM
140,848,IN_ROOM
47,849,IN_ROOM
85,850,IN_ROOM
165,856,IN_ROOM
77,851,IN_ROOM
61,852,IN_ROOM
147,857,IN_ROOM
189,849,IN_ROOM
203,853,IN_ROOM
181,854,IN_ROOM
111,854,IN_ROOM
167,848,IN_ROOM
12,849,IN_ROOM
51,850,IN_ROOM
148,851,IN_ROOM
207,852,IN_ROOM
19,848,IN_ROOM
216,849,IN_ROOM
15,850,IN_ROOM
44,851,IN_ROOM
114,852,IN_ROOM
121,848,IN_ROOM
152,849,IN_ROOM
50,850,IN_ROOM
206,851,IN_ROOM
116,852,IN_ROOM
