:START_ID,:END_ID,:TYPE
226,0,PRESENTS
227,1,PRESENTS
228,2,PRESENTS
229,3,PRESENTS
230,4,PRESENTS
231,5,PRESENTS
232,5,PRESENTS
233,6,PRESENTS
234,7,PRESENTS
235,8,PRESENTS
236,9,PRESENTS
237,10,PRESENTS
238,10,PRESENTS
239,11,PRESENTS
240,12,PRESENTS
241,13,PRESENTS
242,14,PRESENTS
243,15,PRESENTS
244,16,PRESENTS
245,16,PRESENTS
246,16,PRESENTS
247,17,PRESENTS
248,18,PRESENTS
249,18,PRESENTS
250,19,PRESENTS
251,20,PRESENTS
252,21,PRESENTS
253,22,PRESENTS
254,22,PRESENTS
255,23,PRESENTS
256,24,PRESENTS
257,25,PRESENTS
258,26,PRESENTS
259,26,PRESENTS
260,27,PRESENTS
261,27,PRESENTS
247,28,PRESENTS
262,29,PRESENTS
263,30,PRESENTS
264,31,PRESENTS
265,32,PRESENTS
266,32,PRESENTS
267,33,PRESENTS
268,33,PRESENTS
269,34,PRESENTS
270,35,PRESENTS
257,36,PRESENTS
271,37,PRESENTS
230,38,PRESENTS
272,39,PRESENTS
273,40,PRESENTS
256,41,PRESENTS
274,42,PRESENTS
275,43,PRESENTS
276,44,PRESENTS
277,45,PRESENTS
278,46,PRESENTS
279,47,PRESENTS
280,48,PRESENTS
281,49,PRESENTS
282,49,PRESENTS
283,50,PRESENTS
284,51,PRESENTS
285,52,PRESENTS
286,53,PRESENTS
287,53,PRESENTS
288,54,PRESENTS
289,55,PRESENTS
290,56,PRESENTS
291,57,PRESENTS
292,58,PRESENTS
293,59,PRESENTS
294,60,PRESENTS
295,61,PRESENTS
296,62,PRESENTS
297,63,PRESENTS
278,64,PRESENTS
298,65,PRESENTS
299,65,PRESENTS
300,66,PRESENTS
301,67,PRESENTS
302,68,PRESENTS
303,69,PRESENTS
304,70,PRESENTS
291,71,PRESENTS
305,72,PRESENTS
306,73,PRESENTS
307,74,PRESENTS
308,74,PRESENTS
309,75,PRESENTS
310,76,PRESENTS
311,77,PRESENTS
312,78,PRESENTS
313,79,PRESENTS
314,80,PRESENTS
315,81,PRESENTS
316,81,PRESENTS
317,81,PRESENTS
318,82,PRESENTS
319,83,PRESENTS
228,83,PRESENTS
320,84,PRESENTS
321,84,PRESENTS
322,85,PRESENTS
323,85,PRESENTS
324,86,PRESENTS
325,87,PRESENTS
258,88,PRESENTS
326,89,PRESENTS
327,89,PRESENTS
328,90,PRESENTS
269,91,PRESENTS
329,92,PRESENTS
330,93,PRESENTS
331,93,PRESENTS
330,94,PRESENTS
331,94,PRESENTS
332,95,PRESENTS
333,95,PRESENTS
326,96,PRESENTS
327,96,PRESENTS
334,97,PRESENTS
335,98,PRESENTS
336,98,PRESENTS
337,98,PRESENTS
338,99,PRESENTS
339,100,PRESENTS
231,101,PRESENTS
232,101,PRESENTS
340,102,PRESENTS
341,103,PRESENTS
342,104,PRESENTS
343,105,PRESENTS
344,106,PRESENTS
345,107,PRESENTS
264,107,PRESENTS
278,108,PRESENTS
346,109,PRESENTS
347,110,PRESENTS
348,111,PRESENTS
349,112,PRESENTS
350,113,PRESENTS
351,113,PRESENTS
352,114,PRESENTS
353,115,PRESENTS
246,116,PRESENTS
354,117,PRESENTS
355,118,PRESENTS
349,119,PRESENTS
311,120,PRESENTS
356,121,PRESENTS
357,121,PRESENTS
358,122,PRESENTS
359,123,PRESENTS
264,123,PRESENTS
360,124,PRESENTS
361,125,PRESENTS
362,125,PRESENTS
363,126,PRESENTS
364,127,PRESENTS
365,138,PRESENTS
366,139,PRESENTS
367,140,PRESENTS
368,141,PRESENTS
369,142,PRESENTS
334,143,PRESENTS
259,143,PRESENTS
370,144,PRESENTS
371,144,PRESENTS
372,145,PRESENTS
373,146,PRESENTS
374,147,PRESENTS
375,148,PRESENTS
376,149,PRESENTS
307,150,PRESENTS
377,151,PRESENTS
378,151,PRESENTS
379,152,PRESENTS
380,153,PRESENTS
381,154,PRESENTS
285,154,PRESENTS
382,154,PRESENTS
383,155,PRESENTS
238,156,PRESENTS
384,157,PRESENTS
267,158,PRESENTS
318,159,PRESENTS
385,160,PRESENTS
386,160,PRESENTS
387,161,PRESENTS
388,162,PRESENTS
258,163,PRESENTS
256,163,PRESENTS
282,163,PRESENTS
389,164,PRESENTS
390,165,PRESENTS
391,166,PRESENTS
392,167,PRESENTS
393,168,PRESENTS
347,168,PRESENTS
362,169,PRESENTS
303,170,PRESENTS
394,170,PRESENTS
395,171,PRESENTS
396,172,PRESENTS
397,173,PRESENTS
398,174,PRESENTS
399,175,PRESENTS
235,176,PRESENTS
400,176,PRESENTS
315,177,PRESENTS
