:START_ID,:END_ID,:TYPE
0,447,TAGGED
0,448,TAGGED
0,449,TAGGED
1,447,TAGGED
1,450,TAGGED
1,451,TAGGED
2,452,TAGGED
2,453,TAGGED
2,454,TAGGED
2,455,TAGGED
3,456,TAGGED
3,457,TAGGED
3,458,TAGGED
4,459,TAGGED
4,460,TAGGED
4,461,TAGGED
5,462,TAGGED
5,463,TAGGED
5,464,TAGGED
6,465,TAGGED
6,466,TAGGED
6,467,TAGGED
6,463,TAGGED
6,468,TAGGED
7,469,TAGGED
7,470,TAGGED
7,471,TAGGED
8,472,TAGGED
8,473,TAGGED
8,474,TAGGED
9,475,TAGGED
9,476,TAGGED
9,477,TAGGED
10,478,TAGGED
10,479,TAGGED
10,480,TAGGED
11,447,TAGGED
11,481,TAGGED
11,482,TAGGED
11,483,TAGGED
12,484,TAGGED
12,485,TAGGED
12,486,TAGGED
13,487,TAGGED
13,488,TAGGED
13,477,TAGGED
14,489,TAGGED
14,490,TAGGED
14,491,TAGGED
15,492,TAGGED
15,493,TAGGED
15,494,TAGGED
15,495,TAGGED
15,496,TAGGED
16,497,TAGGED
16,498,TAGGED
16,499,TAGGED
17,500,TAGGED
17,501,TAGGED
17,502,TAGGED
18,503,TAGGED
18,483,TAGGED
18,504,TAGGED
18,505,TAGGED
18,506,TAGGED
19,507,TAGGED
19,508,TAGGED
19,509,TAGGED
20,510,TAGGED
20,511,TAGGED
20,512,TAGGED
21,513,TAGGED
21,514,TAGGED
21,451,TAGGED
22,515,TAGGED
22,465,TAGGED
22,516,TAGGED
22,517,TAGGED
23,447,TAGGED
23,518,TAGGED
23,519,TAGGED
23,468,TAGGED
24,520,TAGGED
24,521,TAGGED
24,522,TAGGED
24,523,TAGGED
24,453,TAGGED
24,524,TAGGED
25,525,TAGGED
25,526,TAGGED
25,503,TAGGED
25,527,TAGGED
25,528,TAGGED
26,529,TAGGED
26,530,TAGGED
26,531,TAGGED
26,532,TAGGED
27,533,TAGGED
27,534,TAGGED
27,530,TAGGED
28,500,TAGGED
28,535,TAGGED
28,536,TAGGED
28,503,TAGGED
28,502,TAGGED
29,537,TAGGED
29,483,TAGGED
29,488,TAGGED
30,538,TAGGED
30,539,TAGGED
30,540,TAGGED
31,541,TAGGED
31,542,TAGGED
31,543,TAGGED
32,447,TAGGED
32,518,TAGGED
32,519,TAGGED
32,521,TAGGED
33,529,TAGGED
33,544,TAGGED
33,476,TAGGED
34,545,TAGGED
34,546,TAGGED
34,491,TAGGED
35,547,TAGGED
35,548,TAGGED
35,549,TAGGED
35,550,TAGGED
36,479,TAGGED
36,457,TAGGED
36,551,TAGGED
36,528,TAGGED
37,552,TAGGED
37,553,TAGGED
37,531,TAGGED
38,554,TAGGED
38,555,TAGGED
38,491,TAGGED
39,556,TAGGED
39,557,TAGGED
39,496,TAGGED
40,558,TAGGED
40,559,TAGGED
40,560,TAGGED
40,561,TAGGED
41,562,TAGGED
41,563,TAGGED
41,523,TAGGED
41,564,TAGGED
42,565,TAGGED
42,566,TAGGED
42,567,TAGGED
42,568,TAGGED
42,527,TAGGED
43,569,TAGGED
43,570,TAGGED
43,482,TAGGED
44,562,TAGGED
44,571,TAGGED
44,483,TAGGED
45,450,TAGGED
45,572,TAGGED
45,541,TAGGED
45,573,TAGGED
45,503,TAGGED
45,451,TAGGED
46,503,TAGGED
46,574,TAGGED
46,575,TAGGED
47,447,TAGGED
47,518,TAGGED
47,483,TAGGED
48,483,TAGGED
48,453,TAGGED
48,477,TAGGED
49,447,TAGGED
49,576,TAGGED
49,453,TAGGED
50,577,TAGGED
50,452,TAGGED
50,578,TAGGED
50,579,TAGGED
50,580,TAGGED
51,581,TAGGED
51,582,TAGGED
51,482,TAGGED
51,583,TAGGED
52,541,TAGGED
52,584,TAGGED
52,585,TAGGED
53,541,TAGGED
53,586,TAGGED
53,503,TAGGED
54,587,TAGGED
54,508,TAGGED
54,588,TAGGED
54,482,TAGGED
55,589,TAGGED
55,482,TAGGED
55,590,TAGGED
56,447,TAGGED
56,591,TAGGED
56,592,TAGGED
56,573,TAGGED
57,448,TAGGED
57,554,TAGGED
57,593,TAGGED
57,594,TAGGED
58,589,TAGGED
58,595,TAGGED
58,596,TAGGED
59,448,TAGGED
59,597,TAGGED
59,593,TAGGED
60,598,TAGGED
60,599,TAGGED
60,529,TAGGED
61,600,TAGGED
61,503,TAGGED
61,485,TAGGED
62,601,TAGGED
62,485,TAGGED
62,602,TAGGED
63,603,TAGGED
63,604,TAGGED
63,605,TAGGED
64,606,TAGGED
64,586,TAGGED
64,607,TAGGED
65,608,TAGGED
65,609,TAGGED
65,573,TAGGED
66,610,TAGGED
66,611,TAGGED
66,612,TAGGED
66,613,TAGGED
67,614,TAGGED
67,555,TAGGED
67,615,TAGGED
68,616,TAGGED
68,528,TAGGED
68,617,TAGGED
69,618,TAGGED
69,619,TAGGED
69,523,TAGGED
70,620,TAGGED
70,621,TAGGED
70,622,TAGGED
71,554,TAGGED
71,593,TAGGED
71,594,TAGGED
72,623,TAGGED
72,582,TAGGED
72,624,TAGGED
72,625,TAGGED
73,626,TAGGED
73,627,TAGGED
73,628,TAGGED
73,629,TAGGED
74,630,TAGGED
74,572,TAGGED
74,631,TAGGED
74,517,TAGGED
74,484,TAGGED
74,503,TAGGED
74,463,TAGGED
74,468,TAGGED
74,523,TAGGED
75,632,TAGGED
75,533,TAGGED
75,633,TAGGED
76,450,TAGGED
76,617,TAGGED
76,451,TAGGED
77,634,TAGGED
77,635,TAGGED
77,636,TAGGED
77,637,TAGGED
77,615,TAGGED
78,638,TAGGED
78,503,TAGGED
78,639,TAGGED
79,640,TAGGED
79,641,TAGGED
79,642,TAGGED
80,643,TAGGED
80,644,TAGGED
80,645,TAGGED
81,646,TAGGED
81,629,TAGGED
81,647,TAGGED
82,467,TAGGED
82,571,TAGGED
82,464,TAGGED
82,468,TAGGED
83,582,TAGGED
83,452,TAGGED
83,648,TAGGED
83,468,TAGGED
83,453,TAGGED
83,454,TAGGED
83,455,TAGGED
84,649,TAGGED
84,650,TAGGED
84,651,TAGGED
84,615,TAGGED
85,472,TAGGED
85,652,TAGGED
85,457,TAGGED
85,653,TAGGED
85,654,TAGGED
86,655,TAGGED
86,656,TAGGED
86,657,TAGGED
86,658,TAGGED
87,447,TAGGED
87,659,TAGGED
87,615,TAGGED
88,634,TAGGED
88,641,TAGGED
88,483,TAGGED
88,477,TAGGED
89,631,TAGGED
89,660,TAGGED
89,477,TAGGED
90,661,TAGGED
90,662,TAGGED
90,663,TAGGED
91,664,TAGGED
91,527,TAGGED
91,665,TAGGED
92,597,TAGGED
92,666,TAGGED
92,667,TAGGED
92,651,TAGGED
92,668,TAGGED
92,669,TAGGED
93,670,TAGGED
93,503,TAGGED
93,629,TAGGED
93,644,TAGGED
93,477,TAGGED
